YEAR,NODE_1,NODE_2,VALUE
2021,INDEA,INDNE,804.24
2022,INDEA,INDNE,823.68
2022,INDNE,INDNO,77.03999999999999
2023,INDEA,INDNE,800.64
2024,INDEA,INDNE,1016.64
2024,INDNE,INDNO,864.0
2025,INDEA,INDNE,1016.64
2025,INDEA,INDNO,567.36
2025,INDNE,INDNO,864.0
2025,INDNO,INDWE,1619.28
2025,INDSO,INDWE,2351.52
2026,INDEA,INDNE,1016.64
2026,INDEA,INDNO,692.64
2026,INDNE,INDNO,864.0
2026,INDNO,INDWE,1215.36
2026,INDSO,INDWE,1965.6000000000001
2027,INDEA,INDNE,1016.64
2027,INDEA,INDNO,835.92
2027,INDNE,INDNO,864.0
2027,INDNO,INDWE,774.72
2027,INDSO,INDWE,1458.72
2028,INDEA,INDNE,1016.64
2028,INDEA,INDNO,1008.0
2028,INDNE,INDNO,864.0
2028,INDNO,INDWE,496.08
2028,INDSO,INDWE,1327.68
2029,INDEA,INDNE,1016.64
2029,INDEA,INDNO,1385.28
2029,INDNE,INDNO,864.0
2029,INDNO,INDWE,55.44
2029,INDSO,INDWE,1271.52
2030,INDEA,INDNE,1592.64
2030,INDEA,INDNO,1350.72
2030,INDNE,INDNO,1440.0
2030,INDNO,INDWE,184.32
2030,INDSO,INDWE,1778.4
2031,INDEA,INDNE,2168.64
2031,INDEA,INDNO,856.8000000000001
2031,INDNE,INDNO,1764.72
2031,INDSO,INDWE,342.0
2032,INDEA,INDNE,2744.64
2032,INDEA,INDNO,630.0
2032,INDNE,INDNO,2465.28
2032,INDSO,INDWE,364.32
2033,INDEA,INDNE,3320.64
2033,INDEA,INDNO,348.48
2033,INDNE,INDNO,3035.52
2033,INDSO,INDWE,385.2
2034,INDEA,INDNE,3896.64
2034,INDEA,INDNO,360.71999999999997
2034,INDEA,INDSO,262.8
2034,INDNE,INDNO,3597.84
2034,INDSO,INDWE,136.07999999999998
2035,INDEA,INDNE,4472.639999999999
2035,INDEA,INDNO,394.56000000000006
2035,INDEA,INDSO,408.96
2035,INDEA,INDWE,24.48
2035,INDNE,INDNO,4181.76
2036,INDEA,INDNE,5048.64
2036,INDEA,INDNO,419.76
2036,INDEA,INDSO,416.88
2036,INDEA,INDWE,43.199999999999996
2036,INDNE,INDNO,4752.72
2037,INDEA,INDNE,5624.64
2037,INDEA,INDNO,444.96
2037,INDEA,INDSO,424.8
2037,INDEA,INDWE,62.64
2037,INDNE,INDNO,5324.4
2038,INDEA,INDNE,6200.64
2038,INDEA,INDNO,470.16
2038,INDEA,INDSO,432.0
2038,INDEA,INDWE,81.35999999999999
2038,INDNE,INDNO,5895.36
2039,INDEA,INDNE,6776.64
2039,INDEA,INDNO,496.08
2039,INDEA,INDSO,439.92
2039,INDEA,INDWE,100.08
2039,INDNE,INDNO,6466.32
2040,INDEA,INDNE,7352.64
2040,INDEA,INDNO,521.28
2040,INDEA,INDSO,447.84
2040,INDEA,INDWE,118.8
2040,INDNE,INDNO,7035.84
2041,INDEA,INDNE,7927.2
2041,INDEA,INDNO,550.8000000000001
2041,INDEA,INDSO,456.48
2041,INDEA,INDWE,139.68
2041,INDNE,INDNO,7604.64
2042,INDEA,INDNE,8504.64
2042,INDEA,INDNO,579.6
2042,INDEA,INDSO,465.12
2042,INDEA,INDWE,159.84
2042,INDNE,INDNO,8172.0
2043,INDEA,INDNE,9080.64
2043,INDEA,INDNO,608.4
2043,INDEA,INDSO,473.76
2043,INDEA,INDWE,180.0
2043,INDNE,INDNO,8740.8
2044,INDEA,INDNE,9656.64
2044,INDEA,INDNO,538.5600000000001
2044,INDEA,INDSO,478.8
2044,INDEA,INDWE,104.39999999999999
2044,INDNE,INDNO,9209.52
2045,INDEA,INDNE,10232.64
2045,INDEA,INDNO,368.64
2045,INDEA,INDSO,411.12
2045,INDNE,INDNO,9519.84
2045,INDSO,INDWE,769.6800000000001
2046,INDEA,INDNE,10808.64
2046,INDEA,INDNO,54.72
2046,INDEA,INDSO,96.48
2046,INDNE,INDNO,8735.76
2046,INDNO,INDWE,582.48
2046,INDSO,INDWE,2066.4
2047,INDEA,INDNE,11384.64
2047,INDEA,INDSO,46.800000000000004
2047,INDNE,INDNO,8750.16
2047,INDNO,INDWE,726.4799999999999
2047,INDSO,INDWE,3329.2799999999997
2048,INDEA,INDNE,11960.64
2048,INDEA,INDSO,284.4
2048,INDNE,INDNO,9208.08
2048,INDNO,INDWE,760.32
2048,INDSO,INDWE,4337.28
2049,INDEA,INDNE,12536.64
2049,INDEA,INDSO,1192.32
2049,INDNE,INDNO,9661.68
2049,INDNO,INDWE,792.72
2049,INDSO,INDWE,4625.28
2050,INDEA,INDNE,13112.64
2050,INDEA,INDSO,1214.64
2050,INDNE,INDNO,10116.0
2050,INDNO,INDWE,825.1200000000001
2050,INDSO,INDWE,4913.28
