REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGKENXX01,2032,0.0676392068598417
GLOBAL,PWRCCGKENXX01,2033,0.11841098054237223
GLOBAL,PWRCCGKENXX01,2034,0.4434424795695193
GLOBAL,PWRCCGKENXX01,2035,0.5818022130694718
GLOBAL,PWRCCGKENXX01,2036,0.7421865572081923
GLOBAL,PWRCCGKENXX01,2037,0.902288534543852
GLOBAL,PWRCCGKENXX01,2038,1.0626728786825714
GLOBAL,PWRCCGKENXX01,2039,1.2227748560182308
GLOBAL,PWRCCGKENXX01,2040,1.3831592001569506
GLOBAL,PWRCCGKENXX01,2041,1.5822277963150455
GLOBAL,PWRCCGKENXX01,2042,1.7812963924731413
GLOBAL,PWRCCGKENXX01,2043,1.9800826218281737
GLOBAL,PWRCCGKENXX01,2044,2.1791512179862687
GLOBAL,PWRCCGKENXX01,2045,2.518219814144364
GLOBAL,PWRCCGKENXX01,2046,3.0468320680503997
GLOBAL,PWRCCGKENXX01,2047,3.296726688759497
GLOBAL,PWRCCGKENXX01,2048,3.6140739426655344
GLOBAL,PWRCCGKENXX01,2049,3.86368619657157
GLOBAL,PWRCCGKENXX01,2050,4.113580817280668
GLOBAL,PWRCCGTZAXX01,2021,0.33957077615816805
GLOBAL,PWRCCGTZAXX01,2022,0.48884542662353064
GLOBAL,PWRCCGTZAXX01,2023,0.5215594578591788
GLOBAL,PWRCCGTZAXX01,2024,0.5215594578591788
GLOBAL,PWRCCGTZAXX01,2025,0.5766507178371568
GLOBAL,PWRCCGTZAXX01,2026,0.6557350227492188
GLOBAL,PWRCCGTZAXX01,2027,0.7346696710318162
GLOBAL,PWRCCGTZAXX01,2028,0.8137539759438809
GLOBAL,PWRCCGTZAXX01,2029,0.8928043581129774
GLOBAL,PWRCCGTZAXX01,2030,0.9368609032175249
GLOBAL,PWRCCGTZAXX01,2031,0.9924911316874621
GLOBAL,PWRCCGTZAXX01,2032,1.2040223407750523
GLOBAL,PWRCCGTZAXX01,2033,1.3137917387086135
GLOBAL,PWRCCGTZAXX01,2034,1.4568986034453724
GLOBAL,PWRCCGTZAXX01,2035,1.6055995107885512
GLOBAL,PWRCCGTZAXX01,2036,1.7945176057363894
GLOBAL,PWRCCGTZAXX01,2037,1.8816292070761218
GLOBAL,PWRCCGTZAXX01,2038,1.9684958283120337
GLOBAL,PWRCCGTZAXX01,2039,2.1024104822426106
GLOBAL,PWRCCGTZAXX01,2040,2.237623049652996
GLOBAL,PWRCCGTZAXX01,2041,2.3055963873935914
GLOBAL,PWRCCGTZAXX01,2042,2.373717906731103
GLOBAL,PWRCCGTZAXX01,2043,2.442391638062931
GLOBAL,PWRCCGTZAXX01,2044,2.5746949545089035
GLOBAL,PWRCCGTZAXX01,2045,2.694910646297319
GLOBAL,PWRCCGTZAXX01,2046,2.8517876798182646
GLOBAL,PWRCCGTZAXX01,2047,3.0460019257947555
GLOBAL,PWRCCGTZAXX01,2048,3.241157088934465
GLOBAL,PWRCCGTZAXX01,2049,3.436312252074175
GLOBAL,PWRCCGTZAXX01,2050,3.6314674152138875
GLOBAL,PWRHYDKENXX01,2021,0.1292295543251018
GLOBAL,PWRHYDKENXX01,2022,0.34997624188218235
GLOBAL,PWRHYDKENXX01,2023,0.5698828611414436
GLOBAL,PWRHYDKENXX01,2024,0.9713474255507171
GLOBAL,PWRHYDKENXX01,2025,1.3016109779114295
GLOBAL,PWRHYDKENXX01,2026,1.6464419147704294
GLOBAL,PWRHYDKENXX01,2027,1.9912669125887839
GLOBAL,PWRHYDKENXX01,2028,2.3360978494477806
GLOBAL,PWRHYDKENXX01,2029,2.6817295352186465
GLOBAL,PWRHYDKENXX01,2030,2.9343061990209964
GLOBAL,PWRHYDKENXX01,2031,3.2002
GLOBAL,PWRHYDKENXX01,2032,3.2002
GLOBAL,PWRHYDKENXX01,2033,3.2002
GLOBAL,PWRHYDKENXX01,2034,3.2002
GLOBAL,PWRHYDKENXX01,2035,3.2002
GLOBAL,PWRHYDKENXX01,2036,3.2002
GLOBAL,PWRHYDKENXX01,2037,3.2002
GLOBAL,PWRHYDKENXX01,2038,3.2002
GLOBAL,PWRHYDKENXX01,2039,3.2002
GLOBAL,PWRHYDKENXX01,2040,3.2002
GLOBAL,PWRHYDKENXX01,2041,3.2002
GLOBAL,PWRHYDKENXX01,2042,3.2002
GLOBAL,PWRHYDKENXX01,2043,3.2002
GLOBAL,PWRHYDKENXX01,2044,3.2002
GLOBAL,PWRHYDKENXX01,2045,3.2002
GLOBAL,PWRHYDKENXX01,2046,3.2002
GLOBAL,PWRHYDKENXX01,2047,3.2002
GLOBAL,PWRHYDKENXX01,2048,3.2002
GLOBAL,PWRHYDKENXX01,2049,3.2002
GLOBAL,PWRHYDKENXX01,2050,3.2002
GLOBAL,PWRHYDTZAXX01,2021,2.0941479251608843
GLOBAL,PWRHYDTZAXX01,2022,2.2980471089771046
GLOBAL,PWRHYDTZAXX01,2023,2.5018108727757116
GLOBAL,PWRHYDTZAXX01,2024,2.8545002654942753
GLOBAL,PWRHYDTZAXX01,2025,2.982040171947631
GLOBAL,PWRHYDTZAXX01,2026,3.2376446538619783
GLOBAL,PWRHYDTZAXX01,2027,3.492816041213924
GLOBAL,PWRHYDTZAXX01,2028,3.748420523128268
GLOBAL,PWRHYDTZAXX01,2029,4.003989606874575
GLOBAL,PWRHYDTZAXX01,2030,4.4971739050670765
GLOBAL,PWRHYDTZAXX01,2031,5.115121016883205
GLOBAL,PWRHYDTZAXX01,2032,5.868647953453194
GLOBAL,PWRHYDTZAXX01,2033,6.49447356580761
GLOBAL,PWRHYDTZAXX01,2034,7.203059011574533
GLOBAL,PWRHYDTZAXX01,2035,7.418236406162682
GLOBAL,PWRHYDTZAXX01,2036,7.6330114699535585
GLOBAL,PWRHYDTZAXX01,2037,8.186014087259732
GLOBAL,PWRHYDTZAXX01,2038,8.738892496262787
GLOBAL,PWRHYDTZAXX01,2039,9.13640324449639
GLOBAL,PWRHYDTZAXX01,2040,9.529601987813697
GLOBAL,PWRHYDTZAXX01,2041,10.299096473884324
GLOBAL,PWRHYDTZAXX01,2042,11.069036757982012
GLOBAL,PWRHYDTZAXX01,2043,11.83620435504523
GLOBAL,PWRHYDTZAXX01,2044,12.39197798162956
GLOBAL,PWRHYDTZAXX01,2045,12.987909829667569
GLOBAL,PWRHYDTZAXX01,2046,13.702195697144509
GLOBAL,PWRHYDTZAXX01,2047,14.292437669420295
GLOBAL,PWRHYDTZAXX01,2048,14.879553671054165
GLOBAL,PWRHYDTZAXX01,2049,15.46666967268804
GLOBAL,PWRHYDTZAXX01,2050,16.0537856743219
GLOBAL,PWROCGKENXX01,2022,0.04015914456469816
GLOBAL,PWROCGKENXX01,2023,0.19679291284667252
GLOBAL,PWROCGKENXX01,2024,0.2792795681807763
GLOBAL,PWROCGKENXX01,2025,0.7600695740859373
GLOBAL,PWROCGKENXX01,2026,0.9129674863293938
GLOBAL,PWROCGKENXX01,2027,1.4532502414524133
GLOBAL,PWROCGKENXX01,2028,1.6061481536958695
GLOBAL,PWROCGKENXX01,2029,1.7592360300519332
GLOBAL,PWROCGKENXX01,2030,2.018719854362402
GLOBAL,PWROCGKENXX01,2031,2.1807792104694492
GLOBAL,PWROCGKENXX01,2032,2.397736371174051
GLOBAL,PWROCGKENXX01,2033,2.5413010425661
GLOBAL,PWROCGKENXX01,2034,2.6842707523885827
GLOBAL,PWROCGKENXX01,2035,2.837787535524771
GLOBAL,PWROCGKENXX01,2036,3.0196514532182563
GLOBAL,PWROCGKENXX01,2037,3.190450555200228
GLOBAL,PWROCGKENXX01,2038,3.361253673250669
GLOBAL,PWROCGKENXX01,2039,3.537080345665986
GLOBAL,PWROCGKENXX01,2040,3.80317523105478
GLOBAL,PWROCGKENXX01,2041,4.005740665117853
GLOBAL,PWROCGKENXX01,2042,4.282420476525905
GLOBAL,PWROCGKENXX01,2043,4.635932355185703
GLOBAL,PWROCGKENXX01,2044,4.845408097038836
GLOBAL,PWROCGKENXX01,2045,5.053585389731628
GLOBAL,PWROCGKENXX01,2046,5.313960196779673
GLOBAL,PWROCGKENXX01,2047,5.578474547920411
GLOBAL,PWROCGKENXX01,2048,5.809670625075161
GLOBAL,PWROCGKENXX01,2049,6.074157257785463
GLOBAL,PWROCGKENXX01,2050,6.338772681976947
GLOBAL,PWRSPVKENXX01,2033,0.4535645860489714
GLOBAL,PWRSPVKENXX01,2034,2.274822414071623
GLOBAL,PWRSPVKENXX01,2035,2.913951082926757
GLOBAL,PWRSPVKENXX01,2036,3.6548186011098505
GLOBAL,PWRSPVKENXX01,2037,4.394381775070793
GLOBAL,PWRSPVKENXX01,2038,5.135249293253884
GLOBAL,PWRSPVKENXX01,2039,5.874812467214829
GLOBAL,PWRSPVKENXX01,2040,6.61567998539792
GLOBAL,PWRSPVKENXX01,2041,7.5352426620160236
GLOBAL,PWRSPVKENXX01,2042,8.454805338634122
GLOBAL,PWRSPVKENXX01,2043,9.37306367103007
GLOBAL,PWRSPVKENXX01,2044,10.292626347648174
GLOBAL,PWRSPVKENXX01,2045,11.729668051407616
GLOBAL,PWRSPVKENXX01,2046,13.882946412648392
GLOBAL,PWRSPVKENXX01,2047,15.086543337307377
GLOBAL,PWRSPVKENXX01,2048,16.49887909915867
GLOBAL,PWRSPVKENXX01,2049,17.69972384116606
GLOBAL,PWRSPVKENXX01,2050,18.901974465858867
GLOBAL,PWRSPVTZAXX01,2021,2.4102954681992426
GLOBAL,PWRSPVTZAXX01,2022,2.7239471059738434
GLOBAL,PWRSPVTZAXX01,2023,3.0382041194304232
GLOBAL,PWRSPVTZAXX01,2024,3.0522903397243786
GLOBAL,PWRSPVTZAXX01,2025,3.310854668145522
GLOBAL,PWRSPVTZAXX01,2026,3.66686551066505
GLOBAL,PWRSPVTZAXX01,2027,4.022342890477343
GLOBAL,PWRSPVTZAXX01,2028,4.378353732996877
GLOBAL,PWRSPVTZAXX01,2029,4.734417619296913
GLOBAL,PWRSPVTZAXX01,2030,4.734417619296913
GLOBAL,PWRSPVTZAXX01,2031,4.734417619296913
GLOBAL,PWRSPVTZAXX01,2032,5.211287731751725
GLOBAL,PWRSPVTZAXX01,2033,5.299262237970629
GLOBAL,PWRSPVTZAXX01,2034,5.299262237970629
GLOBAL,PWRSPVTZAXX01,2035,6.229475788295172
GLOBAL,PWRSPVTZAXX01,2036,7.428938651037818
GLOBAL,PWRSPVTZAXX01,2037,7.788489441513426
GLOBAL,PWRSPVTZAXX01,2038,8.147207781688044
GLOBAL,PWRSPVTZAXX01,2039,8.84667522091845
GLOBAL,PWRSPVTZAXX01,2040,9.495754840341805
GLOBAL,PWRSPVTZAXX01,2041,9.706398510862256
GLOBAL,PWRSPVTZAXX01,2042,9.917567001796076
GLOBAL,PWRSPVTZAXX01,2043,10.114527331658893
GLOBAL,PWRSPVTZAXX01,2044,10.648306146739175
GLOBAL,PWRSPVTZAXX01,2045,11.091085341977236
GLOBAL,PWRSPVTZAXX01,2046,11.657042179724236
GLOBAL,PWRSPVTZAXX01,2047,12.40133059972706
GLOBAL,PWRSPVTZAXX01,2048,13.151465388484358
GLOBAL,PWRSPVTZAXX01,2049,13.90160017724165
GLOBAL,PWRSPVTZAXX01,2050,14.651765582824368
GLOBAL,TRNKENXXTZAXX,2021,0.13159716643476146
GLOBAL,TRNKENXXTZAXX,2022,0.13159716643476146
GLOBAL,TRNKENXXTZAXX,2023,0.13159716643476146
GLOBAL,TRNKENXXTZAXX,2024,0.13159716643476146
GLOBAL,TRNKENXXTZAXX,2025,0.13159716643476146
