REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWROCGTZAXX00,2021,0.0
GLOBAL,PWROCGTZAXX00,2022,0.0
GLOBAL,PWROCGTZAXX00,2023,0.0
GLOBAL,PWROCGTZAXX00,2024,0.0
GLOBAL,PWROCGTZAXX00,2025,0.0
GLOBAL,PWROCGTZAXX00,2026,0.0
GLOBAL,PWROCGTZAXX00,2027,0.0
GLOBAL,PWROCGTZAXX00,2028,0.0
GLOBAL,PWROCGTZAXX00,2029,0.0
GLOBAL,PWROCGTZAXX00,2030,0.0
GLOBAL,PWROCGTZAXX00,2031,0.0
GLOBAL,PWROCGTZAXX00,2032,0.0
GLOBAL,PWROCGTZAXX00,2033,0.0
GLOBAL,PWROCGTZAXX00,2034,0.0
GLOBAL,PWROCGTZAXX00,2035,0.0
GLOBAL,PWROCGTZAXX00,2036,0.0
GLOBAL,PWROCGTZAXX00,2037,0.0
GLOBAL,PWROCGTZAXX00,2038,0.0
GLOBAL,PWROCGTZAXX00,2039,0.0
GLOBAL,PWROCGTZAXX00,2040,0.0
GLOBAL,PWROCGTZAXX00,2041,0.0
GLOBAL,PWROCGTZAXX00,2042,0.0
GLOBAL,PWROCGTZAXX00,2043,0.0
GLOBAL,PWROCGTZAXX00,2044,0.0
GLOBAL,PWROCGTZAXX00,2045,0.0
GLOBAL,PWROCGTZAXX00,2046,0.0
GLOBAL,PWROCGTZAXX00,2047,0.0
GLOBAL,PWROCGTZAXX00,2048,0.0
GLOBAL,PWROCGTZAXX00,2049,0.0
GLOBAL,PWROCGTZAXX00,2050,0.0
GLOBAL,PWROCGKENXX00,2021,0.0
GLOBAL,PWROCGKENXX00,2022,0.0
GLOBAL,PWROCGKENXX00,2023,0.0
GLOBAL,PWROCGKENXX00,2024,0.0
GLOBAL,PWROCGKENXX00,2025,0.0
GLOBAL,PWROCGKENXX00,2026,0.0
GLOBAL,PWROCGKENXX00,2027,0.0
GLOBAL,PWROCGKENXX00,2028,0.0
GLOBAL,PWROCGKENXX00,2029,0.0
GLOBAL,PWROCGKENXX00,2030,0.0
GLOBAL,PWROCGKENXX00,2031,0.0
GLOBAL,PWROCGKENXX00,2032,0.0
GLOBAL,PWROCGKENXX00,2033,0.0
GLOBAL,PWROCGKENXX00,2034,0.0
GLOBAL,PWROCGKENXX00,2035,0.0
GLOBAL,PWROCGKENXX00,2036,0.0
GLOBAL,PWROCGKENXX00,2037,0.0
GLOBAL,PWROCGKENXX00,2038,0.0
GLOBAL,PWROCGKENXX00,2039,0.0
GLOBAL,PWROCGKENXX00,2040,0.0
GLOBAL,PWROCGKENXX00,2041,0.0
GLOBAL,PWROCGKENXX00,2042,0.0
GLOBAL,PWROCGKENXX00,2043,0.0
GLOBAL,PWROCGKENXX00,2044,0.0
GLOBAL,PWROCGKENXX00,2045,0.0
GLOBAL,PWROCGKENXX00,2046,0.0
GLOBAL,PWROCGKENXX00,2047,0.0
GLOBAL,PWROCGKENXX00,2048,0.0
GLOBAL,PWROCGKENXX00,2049,0.0
GLOBAL,PWROCGKENXX00,2050,0.0
GLOBAL,PWRCCGTZAXX00,2021,0.0
GLOBAL,PWRCCGTZAXX00,2022,0.0
GLOBAL,PWRCCGTZAXX00,2023,0.0
GLOBAL,PWRCCGTZAXX00,2024,0.0
GLOBAL,PWRCCGTZAXX00,2025,0.0
GLOBAL,PWRCCGTZAXX00,2026,0.0
GLOBAL,PWRCCGTZAXX00,2027,0.0
GLOBAL,PWRCCGTZAXX00,2028,0.0
GLOBAL,PWRCCGTZAXX00,2029,0.0
GLOBAL,PWRCCGTZAXX00,2030,0.0
GLOBAL,PWRCCGTZAXX00,2031,0.0
GLOBAL,PWRCCGTZAXX00,2032,0.0
GLOBAL,PWRCCGTZAXX00,2033,0.0
GLOBAL,PWRCCGTZAXX00,2034,0.0
GLOBAL,PWRCCGTZAXX00,2035,0.0
GLOBAL,PWRCCGTZAXX00,2036,0.0
GLOBAL,PWRCCGTZAXX00,2037,0.0
GLOBAL,PWRCCGTZAXX00,2038,0.0
GLOBAL,PWRCCGTZAXX00,2039,0.0
GLOBAL,PWRCCGTZAXX00,2040,0.0
GLOBAL,PWRCCGTZAXX00,2041,0.0
GLOBAL,PWRCCGTZAXX00,2042,0.0
GLOBAL,PWRCCGTZAXX00,2043,0.0
GLOBAL,PWRCCGTZAXX00,2044,0.0
GLOBAL,PWRCCGTZAXX00,2045,0.0
GLOBAL,PWRCCGTZAXX00,2046,0.0
GLOBAL,PWRCCGTZAXX00,2047,0.0
GLOBAL,PWRCCGTZAXX00,2048,0.0
GLOBAL,PWRCCGTZAXX00,2049,0.0
GLOBAL,PWRCCGTZAXX00,2050,0.0
GLOBAL,PWRCCGKENXX00,2021,0.0
GLOBAL,PWRCCGKENXX00,2022,0.0
GLOBAL,PWRCCGKENXX00,2023,0.0
GLOBAL,PWRCCGKENXX00,2024,0.0
GLOBAL,PWRCCGKENXX00,2025,0.0
GLOBAL,PWRCCGKENXX00,2026,0.0
GLOBAL,PWRCCGKENXX00,2027,0.0
GLOBAL,PWRCCGKENXX00,2028,0.0
GLOBAL,PWRCCGKENXX00,2029,0.0
GLOBAL,PWRCCGKENXX00,2030,0.0
GLOBAL,PWRCCGKENXX00,2031,0.0
GLOBAL,PWRCCGKENXX00,2032,0.0
GLOBAL,PWRCCGKENXX00,2033,0.0
GLOBAL,PWRCCGKENXX00,2034,0.0
GLOBAL,PWRCCGKENXX00,2035,0.0
GLOBAL,PWRCCGKENXX00,2036,0.0
GLOBAL,PWRCCGKENXX00,2037,0.0
GLOBAL,PWRCCGKENXX00,2038,0.0
GLOBAL,PWRCCGKENXX00,2039,0.0
GLOBAL,PWRCCGKENXX00,2040,0.0
GLOBAL,PWRCCGKENXX00,2041,0.0
GLOBAL,PWRCCGKENXX00,2042,0.0
GLOBAL,PWRCCGKENXX00,2043,0.0
GLOBAL,PWRCCGKENXX00,2044,0.0
GLOBAL,PWRCCGKENXX00,2045,0.0
GLOBAL,PWRCCGKENXX00,2046,0.0
GLOBAL,PWRCCGKENXX00,2047,0.0
GLOBAL,PWRCCGKENXX00,2048,0.0
GLOBAL,PWRCCGKENXX00,2049,0.0
GLOBAL,PWRCCGKENXX00,2050,0.0
GLOBAL,PWROTHKENXX01,2021,0.0
GLOBAL,PWROTHKENXX01,2022,0.0
GLOBAL,PWROTHKENXX01,2023,0.0
GLOBAL,PWROTHKENXX01,2024,0.0
GLOBAL,PWROTHKENXX01,2025,0.0
GLOBAL,PWROTHKENXX01,2026,0.0
GLOBAL,PWROTHKENXX01,2027,0.0
GLOBAL,PWROTHKENXX01,2028,0.0
GLOBAL,PWROTHKENXX01,2029,0.0
GLOBAL,PWROTHKENXX01,2030,0.0
GLOBAL,PWROTHKENXX01,2031,0.0
GLOBAL,PWROTHKENXX01,2032,0.0
GLOBAL,PWROTHKENXX01,2033,0.0
GLOBAL,PWROTHKENXX01,2034,0.0
GLOBAL,PWROTHKENXX01,2035,0.0
GLOBAL,PWROTHKENXX01,2036,0.0
GLOBAL,PWROTHKENXX01,2037,0.0
GLOBAL,PWROTHKENXX01,2038,0.0
GLOBAL,PWROTHKENXX01,2039,0.0
GLOBAL,PWROTHKENXX01,2040,0.0
GLOBAL,PWROTHKENXX01,2041,0.0
GLOBAL,PWROTHKENXX01,2042,0.0
GLOBAL,PWROTHKENXX01,2043,0.0
GLOBAL,PWROTHKENXX01,2044,0.0
GLOBAL,PWROTHKENXX01,2045,0.0
GLOBAL,PWROTHKENXX01,2046,0.0
GLOBAL,PWROTHKENXX01,2047,0.0
GLOBAL,PWROTHKENXX01,2048,0.0
GLOBAL,PWROTHKENXX01,2049,0.0
GLOBAL,PWROTHKENXX01,2050,0.0
GLOBAL,PWRCOGTZAXX01,2021,0.0
GLOBAL,PWRCOGTZAXX01,2022,0.0
GLOBAL,PWRCOGTZAXX01,2023,0.0
GLOBAL,PWRCOGTZAXX01,2024,0.0
GLOBAL,PWRCOGTZAXX01,2025,0.0
GLOBAL,PWRCOGTZAXX01,2026,0.0
GLOBAL,PWRCOGTZAXX01,2027,0.0
GLOBAL,PWRCOGTZAXX01,2028,0.0
GLOBAL,PWRCOGTZAXX01,2029,0.0
GLOBAL,PWRCOGTZAXX01,2030,0.0
GLOBAL,PWRCOGTZAXX01,2031,0.0
GLOBAL,PWRCOGTZAXX01,2032,0.0
GLOBAL,PWRCOGTZAXX01,2033,0.0
GLOBAL,PWRCOGTZAXX01,2034,0.0
GLOBAL,PWRCOGTZAXX01,2035,0.0
GLOBAL,PWRCOGTZAXX01,2036,0.0
GLOBAL,PWRCOGTZAXX01,2037,0.0
GLOBAL,PWRCOGTZAXX01,2038,0.0
GLOBAL,PWRCOGTZAXX01,2039,0.0
GLOBAL,PWRCOGTZAXX01,2040,0.0
GLOBAL,PWRCOGTZAXX01,2041,0.0
GLOBAL,PWRCOGTZAXX01,2042,0.0
GLOBAL,PWRCOGTZAXX01,2043,0.0
GLOBAL,PWRCOGTZAXX01,2044,0.0
GLOBAL,PWRCOGTZAXX01,2045,0.0
GLOBAL,PWRCOGTZAXX01,2046,0.0
GLOBAL,PWRCOGTZAXX01,2047,0.0
GLOBAL,PWRCOGTZAXX01,2048,0.0
GLOBAL,PWRCOGTZAXX01,2049,0.0
GLOBAL,PWRCOGTZAXX01,2050,0.0
GLOBAL,PWRPETKENXX01,2021,0.0
GLOBAL,PWRPETKENXX01,2022,0.0
GLOBAL,PWRPETKENXX01,2023,0.0
GLOBAL,PWRPETKENXX01,2024,0.0
GLOBAL,PWRPETKENXX01,2025,0.0
GLOBAL,PWRPETKENXX01,2026,0.0
GLOBAL,PWRPETKENXX01,2027,0.0
GLOBAL,PWRPETKENXX01,2028,0.0
GLOBAL,PWRPETKENXX01,2029,0.0
GLOBAL,PWRPETKENXX01,2030,0.0
GLOBAL,PWRPETKENXX01,2031,0.0
GLOBAL,PWRPETKENXX01,2032,0.0
GLOBAL,PWRPETKENXX01,2033,0.0
GLOBAL,PWRPETKENXX01,2034,0.0
GLOBAL,PWRPETKENXX01,2035,0.0
GLOBAL,PWRPETKENXX01,2036,0.0
GLOBAL,PWRPETKENXX01,2037,0.0
GLOBAL,PWRPETKENXX01,2038,0.0
GLOBAL,PWRPETKENXX01,2039,0.0
GLOBAL,PWRPETKENXX01,2040,0.0
GLOBAL,PWRPETKENXX01,2041,0.0
GLOBAL,PWRPETKENXX01,2042,0.0
GLOBAL,PWRPETKENXX01,2043,0.0
GLOBAL,PWRPETKENXX01,2044,0.0
GLOBAL,PWRPETKENXX01,2045,0.0
GLOBAL,PWRPETKENXX01,2046,0.0
GLOBAL,PWRPETKENXX01,2047,0.0
GLOBAL,PWRPETKENXX01,2048,0.0
GLOBAL,PWRPETKENXX01,2049,0.0
GLOBAL,PWRPETKENXX01,2050,0.0
GLOBAL,PWROTHTZAXX01,2021,0.0
GLOBAL,PWROTHTZAXX01,2022,0.0
GLOBAL,PWROTHTZAXX01,2023,0.0
GLOBAL,PWROTHTZAXX01,2024,0.0
GLOBAL,PWROTHTZAXX01,2025,0.0
GLOBAL,PWROTHTZAXX01,2026,0.0
GLOBAL,PWROTHTZAXX01,2027,0.0
GLOBAL,PWROTHTZAXX01,2028,0.0
GLOBAL,PWROTHTZAXX01,2029,0.0
GLOBAL,PWROTHTZAXX01,2030,0.0
GLOBAL,PWROTHTZAXX01,2031,0.0
GLOBAL,PWROTHTZAXX01,2032,0.0
GLOBAL,PWROTHTZAXX01,2033,0.0
GLOBAL,PWROTHTZAXX01,2034,0.0
GLOBAL,PWROTHTZAXX01,2035,0.0
GLOBAL,PWROTHTZAXX01,2036,0.0
GLOBAL,PWROTHTZAXX01,2037,0.0
GLOBAL,PWROTHTZAXX01,2038,0.0
GLOBAL,PWROTHTZAXX01,2039,0.0
GLOBAL,PWROTHTZAXX01,2040,0.0
GLOBAL,PWROTHTZAXX01,2041,0.0
GLOBAL,PWROTHTZAXX01,2042,0.0
GLOBAL,PWROTHTZAXX01,2043,0.0
GLOBAL,PWROTHTZAXX01,2044,0.0
GLOBAL,PWROTHTZAXX01,2045,0.0
GLOBAL,PWROTHTZAXX01,2046,0.0
GLOBAL,PWROTHTZAXX01,2047,0.0
GLOBAL,PWROTHTZAXX01,2048,0.0
GLOBAL,PWROTHTZAXX01,2049,0.0
GLOBAL,PWROTHTZAXX01,2050,0.0
GLOBAL,PWRCOAKENXX01,2021,0.0
GLOBAL,PWRCOAKENXX01,2022,0.0
GLOBAL,PWRCOAKENXX01,2023,0.0
